All Ordinaries Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
BUB,Bubs Australia Ltd,Consumer Staples,"588,310,000",0.03,,,
BWP,BWP Trust,Real Estate,"2,370,400,000",0.13,,,
BWX,BWX Ltd,Consumer Staples,"469,665,000",0.03,,,
BYE,Byron Energy Ltd,Energy,"123,828,000",0.01,,,
CAN,Cann Group Ltd,Health Care,"164,665,000",0.01,,,
CAJ,Capitol Health Ltd,Health Care,"219,858,000",0.01,,,
CDV,Cardinal Resources Ltd,Materials,"205,010,000",0.01,,,
CDD,Cardno Ltd,Industrials,"129,635,000",0.01,,,
CDP,Carindale Property Trust,Real Estate,"254,800,000",0.01,,,
CAR,Carsales.com Ltd,Communication Services,"3,995,770,000",0.21,,,
CCV,Cash Converters International,Financials,"132,534,000",0.01,,,
CAT,Catapult Group International Ltd,Information Technology,"266,299,000",0.01,,,
CCX,City Chic Collective Ltd,Consumer Discretionary,"542,106,000",0.03,,,
CCL,Coca-Cola Amatil Ltd,Consumer Staples,"6,298,800,000",0.34,,,
CDA,Codan Ltd,Information Technology,"1,292,350,000",0.07,,,
CBA,Commonwealth Bank of Australia,Financials,"113,118,000,000",6.08,,,
CCP,Credit Corp Group Ltd,Financials,"1,065,190,000",0.06,,,
A2M,The a2 Milk Company Ltd,Consumer Staples,"12,806,500,000",0.69,,,
CEN,Contact Energy Ltd,Utilities,"1,138,620,000",0.06,,,
CGC,Costa Group Holdings Ltd,Consumer Staples,"1,282,660,000",0.07,,,
CGF,Challenger Ltd,Financials,"3,024,760,000",0.16,,,
CGL,The Citadel Group Ltd,Information Technology,"222,731,000",0.01,,,
CHC,Charter Hall Group,Real Estate,"4,541,330,000",0.24,,,
CIA,Champion Iron Ltd,Materials,"1,387,700,000",0.07,,,
CII,Ci Resources Ltd,Materials,"86,685,800",0,,,
CIM,Cimic Group Ltd,Industrials,"8,169,790,000",0.44,,,
CIP,Centuria Industrial REIT,Real Estate,"1,164,800,000",0.06,,,
CKF,Collins Foods Ltd,Consumer Discretionary,"927,987,000",0.05,,,
CL1,Class Ltd,Information Technology,"172,476,000",0.01,,,
CLH,Collection House Ltd,Financials,"154,014,000",0.01,,,
CLQ,Clean TEQ Holdings Ltd,Industrials,"145,560,000",0.01,,,
CLV,Clover Corporation Ltd,Materials,"389,166,000",0.02,,,
CLW,Charter Hall Long Wale REIT,Real Estate,"2,078,720,000",0.11,,,
CMW,Cromwell Property Group,Real Estate,"2,129,490,000",0.11,,,
CNI,Centuria Capital Group,Financials,"883,940,000",0.05,,,
CNU,Chorus Ltd,,"3,107,000,000",0.17,,,
COE,Cooper Energy Ltd,Energy,"683,192,000",0.04,,,
COF,Centuria Office REIT,Real Estate,"1,003,320,000",0.05,,,
COG,Consolidated Operations Group Ltd,Financials,"72,299,900",0,,,
COH,Cochlear Ltd,Health Care,"12,744,000,000",0.68,,,
COI,Comet Ridge Ltd,Energy,"82,845,000",0,,,
COL,Coles Group Ltd,Consumer Staples,"20,649,200,000",1.11,,,
CPU,Computershare Ltd,Information Technology,"7,177,470,000",0.39,,,
CQE,Charter Hall Social Infrastructure REIT,Real Estate,"854,677,000",0.05,,,
CQR,Charter Hall Retail REIT,Real Estate,"1,844,150,000",0.1,,,
CRN,Coronado Global Resources Inc,Materials,"1,130,820,000",0.06,,,
CSL,CSL Ltd,Health Care,"129,254,000,000",6.94,,,
CSR,CSR Ltd,Materials,"2,043,460,000",0.11,,,
CTD,Corporate Travel Management Ltd,Consumer Discretionary,"1,320,000,000",0.07,,,
CTX,Caltex Australia Ltd,Energy,"6,322,580,000",0.34,,,
CUV,Clinuvel Pharmaceuticals Ltd,Health Care,"1,148,790,000",0.06,,,
CVC,CVC Ltd,Financials,"146,697,000",0.01,,,
CVN,Carnarvon Petroleum Ltd,Energy,"336,342,000",0.02,,,
CVW,Clearview Wealth Ltd,Financials,"179,165,000",0.01,,,
CWN,Crown Resorts Ltd,Consumer Discretionary,"6,541,350,000",0.35,,,
CWP,Cedar Woods Properties Ltd,Real Estate,"446,485,000",0.02,,,
