All Ordinaries Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
RIO,RIO Tinto Ltd,Materials,"36,093,400,000",1.94,,,
RMC,Resimac Group Ltd,Financials,"383,002,000",0.02,,,
RMD,Resmed Inc,Health Care,"8,585,750,000",0.46,,,
RMS,Ramelius Resources Ltd,Materials,"1,413,350,000",0.08,,,
RRL,Regis Resources Ltd,Materials,"2,779,750,000",0.15,,,
RSG,Resolute Mining Ltd,Materials,"1,295,820,000",0.07,,,
RUL,Rpmglobal Holdings Ltd,Information Technology,"215,237,000",0.01,,,
RWC,Reliance Worldwide Corporation Ltd,Industrials,"2,417,690,000",0.13,,,
S32,SOUTH32 Ltd,Materials,"9,450,220,000",0.51,,,
SAR,Saracen Mineral Holdings Ltd,Materials,"5,768,120,000",0.31,,,
SBM,ST Barbara Ltd,Materials,"2,285,060,000",0.12,,,
SCG,Scentre Group,Real Estate,"11,366,900,000",0.61,,,
SCP,Shopping Centres Australasia Property Group,Real Estate,"2,410,690,000",0.13,,,
SDA,Speedcast International Ltd,,"189,396,000",0.01,,,
SDF,Steadfast Group Ltd,Financials,"2,883,110,000",0.15,,,
SDG,Sunland Group Ltd,Real Estate,"159,500,000",0.01,,,
SEK,Seek Ltd,Communication Services,"7,129,440,000",0.38,,,
SFC,Schaffer Corporation Ltd,Consumer Discretionary,"166,107,000",0.01,,,
SFG,Seafarms Group Ltd,Consumer Staples,"127,354,000",0.01,,,
SFR,Sandfire Resources Ltd,Materials,"811,044,000",0.04,,,
SFX,Sheffield Resources Ltd,Materials,"35,530,300",0,,,
SGF,SG Fleet Group Ltd,Industrials,"443,050,000",0.02,,,
SGH,Slater & Gordon Ltd,Consumer Discretionary,"117,664,000",0.01,,,
SGM,Sims Ltd,Materials,"1,572,670,000",0.08,,,
SGP,Stockland,Real Estate,"8,416,760,000",0.45,,,
SGR,The Star Entertainment Group Ltd,Consumer Discretionary,"2,788,660,000",0.15,,,
SHJ,Shine Justice Ltd,Consumer Discretionary,"152,470,000",0.01,,,
SHL,Sonic Healthcare Ltd,Health Care,"13,390,600,000",0.72,,,
SHV,Select Harvests Ltd,Consumer Staples,"590,540,000",0.03,,,
SIG,Sigma Healthcare Ltd,Health Care,"630,317,000",0.03,,,
SIQ,Smartgroup Corporation Ltd,Industrials,"876,779,000",0.05,,,
SKC,Skycity Entertainment Group Ltd,Consumer Discretionary,"1,607,940,000",0.09,,,
SKI,Spark Infrastructure Group,Utilities,"3,598,390,000",0.19,,,
SKT,Sky Network Television Ltd,Communication Services,"69,796,200",0,,,
SLC,Superloop Ltd,,"402,453,000",0.02,,,
SLK,Sealink Travel Group Ltd,Consumer Discretionary,"960,956,000",0.05,,,
SLR,Silver Lake Resources Ltd,Materials,"1,988,450,000",0.11,,,
SM1,Synlait Milk Ltd,Consumer Staples,"1,194,180,000",0.06,,,
SMR,Stanmore Coal Ltd,Energy,"242,010,000",0.01,,,
SNL,Supply Network Ltd,Consumer Discretionary,"173,236,000",0.01,,,
SOL,Washington H Soul Pattinson & Company Ltd,Energy,"4,637,090,000",0.25,,,
SPK,Spark New Zealand Ltd,,"7,458,400,000",0.4,,,
SPL,Starpharma Holdings Ltd,Health Care,"393,054,000",0.02,,,
SRG,SRG Global Ltd,Industrials,"86,930,300",0,,,
SRV,Servcorp Ltd,Real Estate,"254,631,000",0.01,,,
SSM,Service Stream Ltd,Industrials,"824,213,000",0.04,,,
SST,Steamships Trading Company Ltd,Industrials,"294,578,000",0.02,,,
STO,Santos Ltd,Energy,"11,456,900,000",0.62,,,
STX,Strike Energy Ltd,Energy,"332,718,000",0.02,,,
SUL,Super Retail Group Ltd,Consumer Discretionary,"1,687,030,000",0.09,,,
SUN,Suncorp Group Ltd,Financials,"11,588,100,000",0.62,,,
SVW,Seven Group Holdings Ltd,Industrials,"5,633,340,000",0.3,,,
SWM,Seven West Media Ltd,Communication Services,"141,499,000",0.01,,,
SXE,Southern Cross Electrical Engineering Ltd,Industrials,"111,427,000",0.01,,,
SXL,Southern Cross Media Group Ltd,Communication Services,"594,474,000",0.03,,,
SXY,SENEX Energy Ltd,Energy,"335,162,000",0.02,,,
SYD,Sydney Airport,Industrials,"13,333,000,000",0.72,,,
SYR,Syrah Resources Ltd,Materials,"122,295,000",0.01,,,
TAH,Tabcorp Holdings Ltd,Consumer Discretionary,"6,605,010,000",0.35,,,
TBR,Tribune Resources Ltd,Materials,"405,738,000",0.02,,,
TCL,Transurban Group,Industrials,"39,358,100,000",2.11,,,
TER,Terracom Ltd,Energy,"110,859,000",0.01,,,
TGN,Tungsten Mining NL,Materials,"88,597,600",0,,,
TGP,360 Capital Group,Real Estate,"199,705,000",0.01,,,
TGR,Tassal Group Ltd,Consumer Staples,"817,654,000",0.04,,,
TLS,Telstra Corporation Ltd,,"38,296,400,000",2.06,,,
TNE,Technology One Ltd,Information Technology,"2,919,020,000",0.16,,,
TPM,TPG Telecom Ltd,,"7,663,720,000",0.41,,,
TWE,Treasury Wine Estates Ltd,Consumer Staples,"7,035,010,000",0.38,,,
TZN,Terramin Australia Ltd,Materials,"86,779,100",0,,,
UMG,United Malt Group Ltd,Consumer Staples,"1,295,510,000",0.07,,,
UOS,United Overseas Australia Ltd,Real Estate,"324,492,000",0.02,,,
URF,US Masters Residential Property Fund,Real Estate,"137,185,000",0.01,,,
URW,Unibail-Rodamco-Westfield,Real Estate,"1,012,960,000",0.05,,,
VAH,Virgin Australia Holdings Ltd,Industrials,"726,289,000",0.04,,,
VCX,Vicinity Centres,Real Estate,"5,987,320,000",0.32,,,
VEA,Viva Energy Group Ltd,Energy,"3,130,700,000",0.17,,,
VHT,Volpara Health Technologies Ltd,Health Care,"350,656,000",0.02,,,
VOC,Vocus Group Ltd,,"1,867,920,000",0.1,,,
VRL,Village Roadshow Ltd,Communication Services,"409,931,000",0.02,,,
VRT,Virtus Health Ltd,Health Care,"267,698,000",0.01,,,
VTG,Vita Group Ltd,Consumer Discretionary,"178,495,000",0.01,,,
VTH,Vitalharvest Freehold Trust,Real Estate,"140,600,000",0.01,,,
VUK,Virgin Money Uk Plc,Financials,"1,624,130,000",0.09,,,
VVR,Viva Energy REIT,Real Estate,"1,905,300,000",0.1,,,
WAF,West African Resources Ltd,Materials,"731,748,000",0.04,,,
WBC,Westpac Banking Corporation,Financials,"62,698,800,000",3.37,,,
WEB,Webjet Ltd,Consumer Discretionary,"1,457,710,000",0.08,,,
WES,Wesfarmers Ltd,Consumer Discretionary,"46,101,900,000",2.48,,,
WGN,Wagners Holding Company Ltd,Materials,"213,404,000",0.01,,,
WGX,Westgold Resources Ltd,Materials,"1,000,150,000",0.05,,,
WHA,Wattle Health Australia Ltd,Consumer Staples,"105,261,000",0.01,,,
WHC,Whitehaven Coal Ltd,Energy,"1,816,100,000",0.1,,,
WJA,Wameja Ltd,Information Technology,"96,868,100",0.01,,,
WOR,Worley Ltd,Energy,"4,475,320,000",0.24,,,
WOW,Woolworths Group Ltd,Consumer Staples,"44,561,800,000",2.39,,,
WPL,Woodside Petroleum Ltd,Energy,"21,883,400,000",1.18,,,
WPP,WPP AUNZ Ltd,Communication Services,"238,603,000",0.01,,,
WSA,Western Areas Ltd,Materials,"635,699,000",0.03,,,
WTC,Wisetech Global Ltd,Information Technology,"6,520,550,000",0.35,,,
XRO,Xero Ltd,Information Technology,"12,294,400,000",0.66,,,
YAL,Yancoal Australia Ltd,Energy,"2,865,350,000",0.15,,,
Z1P,ZIP Co Ltd,Financials,"1,463,960,000",0.08,,,
ZEL,Z Energy Ltd,Energy,"1,400,000,000",0.08,,,
ZIM,Zimplats Holdings Ltd,Materials,"1,103,290,000",0.06,,,
